Date,Time
February 29 2020, 7:00 pm
March 21 2020, 1:00 pm
April 3 2020, 8:00 pm
April 11 2020, 7:00 pm
April 18 2020, 7:00 pm
May 3 2020, 5:00 pm
May 9 2020, 7:00 pm
May 13 2020, 7:00 pm
July 5 2020, 6:00 pm
July 18 2020, 7:00 pm
July 22 2020, 7:00 pm
July 25 2020, 7:00 pm
August 1 2020, 7:00 pm
August 5 2020, 7:00 pm
August 15 2020, 7:00 pm
September 16 2020, 7:00 pm
September 26 2020, 7:00 pm
April 17 2021, 7:00 pm
April 24 2021, 1:00 pm
May 2 2021, 12:00 pm
May 8 2021, 12:30 pm
May 23 2021, 8:00 pm
June 23 2021, 7:30 pm
June 26 2021, 7:30 pm
July 3 2021, 7:00 pm
July 8 2021, 7:30 pm
July 17 2021, 7:30 pm
July 24 2021, 7:30 pm
August 15 2021, 6:00 pm
August 18 2021, 7:30 pm
September 3 2021, 6:30 pm
September 29 2021, 7:30 pm
October 20 2021, 7:30 pm
November 7 2021, 2:30 pm